iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
SCG,residential-and-commercial-onsite-fuel-usage,2022,3217290,3172,156,3347676,3525167
SCG,wastewater-treatment-and-discharge,2022,0,22093,526,758101,1994799
SCG,biological-treatment-of-solid-waste-and-biogenic,2022,0,0,0,0,0
SCG,other-onsite-fuel-usage,2022,0,0,0,0,0
SCG,manure-management-other,2022,0,0,0,0,0
SCG,other-agricultural-soil-emissions,2022,0,0,0,0,0
SCG,other-energy-use,2022,37183769,412,478,37322197,37344809
SCG,other-transport,2022,4560,0,0,4565,4569
SCG,railways,2022,33854,1,13,37370,37463
SCG,domestic-shipping,2022,,,,,
SCG,international-shipping,2022,,,,,
SCG,enteric-fermentation-other,2022,0,0,0,0,0
SCG,incineration-and-open-burning-of-waste,2022,6995,972,1,34608,89063
SCG,other-manufacturing,2022,5593670,338,646,5774536,5792872
SCG,road-transportation,2022,8611118,1004,252,8706022,8762015
SCG,solid-fuel-transformation,2022,9897,36741,0,1038670,3096214
SCG,fluorinated-gases,2022,0,0,0,864270,1907108
SCG,other-fossil-fuel-operations,2022,1681021,11267,3,1997326,2628304
ABW,chemicals,2022,0,0,0,0,0
ABW,copper-mining,2022,0,,,0,0
ABW,enteric-fermentation-cattle-feedlot,2022,0,0,0,0,0
ABW,other-fossil-fuel-operations,2022,0,0,0,0,0
ABW,pulp-and-paper,2022,,,,,
ABW,railways,2022,0,0,0,0,0
ABW,removals,2022,-236,0,0,-236,-236
ABW,road-transportation,2022,136982,25,5,139116,140518
ABW,coal-mining,2022,0,0,0,0,0
ABW,international-aviation,2022,336522,2,9,339168,339292
ABW,international-shipping,2022,276521,,,276521,276521
ABW,net-shrubgrass,2022,-44855,0,0,-44855,-44855
ABW,oil-and-gas-refining,2022,,,,,
ABW,wetland-fires,2022,0,0,0,0,0
ABW,cement,2022,,,,,
ABW,domestic-aviation,2022,0,0,0,0,0
ABW,enteric-fermentation-other,2022,0,0,0,0,0
ABW,incineration-and-open-burning-of-waste,2022,0,18,0,527,1583
ABW,manure-management-other,2022,0,0,0,0,0
ABW,net-forest-land,2022,-236,0,0,-236,-236
ABW,net-wetland,2022,-62,0,0,-62,-62
ABW,other-manufacturing,2022,25824,0,0,25901,25953
ABW,petrochemicals,2022,0,0,,0,0
ABW,residential-and-commercial-onsite-fuel-usage,2022,38441,4,0,38747,38982
ABW,solid-waste-disposal,2022,,500,,14020,42060
ABW,manure-management-cattle-feedlot,2022,0,0,0,0,0
ABW,oil-and-gas-production-and-transport,2022,,,,,
ABW,other-onsite-fuel-usage,2022,5627,0,0,5657,5698
ABW,sand-quarrying,2022,0,,,0,0
ABW,forest-land-clearing,2022,0,,,0,0
ABW,forest-land-fires,2022,0,0,0,0,0
ABW,iron-mining,2022,0,,,0,0
ABW,other-agricultural-soil-emissions,2022,0,0,0,0,0
ABW,other-energy-use,2022,0,3,1,443,660
ABW,rock-quarrying,2022,0,,,0,0
ABW,aluminum,2022,,,,,
ABW,domestic-shipping,2022,79486,,,79486,79486
ABW,fluorinated-gases,2022,0,0,0,0,0
ABW,shrubgrass-fires,2022,0,0,0,0,0
ABW,solid-fuel-transformation,2022,0,0,0,0,0
ABW,bauxite-mining,2022,0,,,0,0
ABW,biological-treatment-of-solid-waste-and-biogenic,2022,0,0,0,0,0
ABW,electricity-generation,2022,1563000,,,1563000,1563000
ABW,forest-land-degradation,2022,0,0,0,0,0
ABW,other-transport,2022,7077,0,0,7104,7120
ABW,steel,2022,,,,,
ABW,wastewater-treatment-and-discharge,2022,0,526,4,15840,45326
ABW,rice-cultivation,2022,0,0,0,0,0
AFG,forest-land-degradation,2022,0,0,0,0,0
AFG,manure-left-on-pasture-cattle,2022,,986,506,165053,217943
AFG,solid-fuel-transformation,2022,17125,2134,0,76901,196454
AFG,domestic-shipping,2022,,,,,
AFG,shrubgrass-fires,2022,9628,0,0,9628,9628
AFG,wastewater-treatment-and-discharge,2022,0,174424,1404,5256080,15022452
AFG,pulp-and-paper,2022,,,,,
AFG,removals,2022,-1443408,0,0,-1443408,-1443408
AFG,enteric-fermentation-other,2022,0,134388,0,3762869,11288608
AFG,iron-mining,2022,0,,,0,0
AFG,other-agricultural-soil-emissions,2022,0,0,9187,2434767,2425579
AFG,solid-waste-disposal,2022,,25410,,711504,2134513
AFG,electricity-generation,2022,110000,,,110000,110000
AFG,enteric-fermentation-cattle-pasture,2022,,26642,,724670,2152698
AFG,incineration-and-open-burning-of-waste,2022,0,1122,0,31417,94253
AFG,domestic-aviation,2022,35635,0,0,35915,35928
AFG,steel,2022,,,,,
AFG,international-shipping,2022,,,,,
AFG,other-manufacturing,2022,1798067,146,22,1808196,1816389
AFG,synthetic-fertilizer-application,2022,0,0,647,176903,176903
AFG,water-reservoirs,2022,0,1505,0,40958,121670
AFG,petrochemicals,2022,0,0,,0,0
AFG,residential-and-commercial-onsite-fuel-usage,2022,555392,45,22,562598,565151
AFG,aluminum,2022,,,,,
AFG,biological-treatment-of-solid-waste-and-biogenic,2022,0,0,0,0,0
